timestamp,price,volume
2025-01-02 09:30,99.93,1563
2025-01-02 09:31,99.84,1501
2025-01-02 09:32,99.98,2385
2025-01-02 09:33,100.78,2516
2025-01-02 09:34,100.95,1864
2025-01-02 09:35,100.82,1065
2025-01-02 09:36,101.16,2034
2025-01-02 09:37,101.23,2232
2025-01-02 09:38,101.55,2330
2025-01-02 09:39,101.61,2436
2025-01-02 09:40,101.27,2206
2025-01-02 09:41,101.17,1569
2025-01-02 09:42,101.19,2650
2025-01-02 09:43,101.14,1326
2025-01-02 09:44,100.99,1318
2025-01-02 09:45,100.56,1440
2025-01-02 09:46,101.00,1189
2025-01-02 09:47,100.88,1778
2025-01-02 09:48,101.67,2236
2025-01-02 09:49,102.23,1541
2025-01-02 09:50,102.51,2098
2025-01-02 09:51,101.76,1255
2025-01-02 09:52,102.24,2130
2025-01-02 09:53,102.15,1600
2025-01-02 09:54,102.49,2764
2025-01-02 09:55,101.88,1740
2025-01-02 09:56,101.19,1093
2025-01-02 09:57,100.82,2354
2025-01-02 09:58,100.88,1163
2025-01-02 09:59,101.29,2751
2025-01-02 10:00,101.31,1569
2025-01-02 10:01,101.54,1928
2025-01-02 10:02,101.23,1758
2025-01-02 10:03,100.87,1727
2025-01-02 10:04,100.97,2918
2025-01-02 10:05,101.35,2399
2025-01-02 10:06,100.94,1350
2025-01-02 10:07,100.39,2093
2025-01-02 10:08,100.35,1777
2025-01-02 10:09,100.06,1552
2025-01-02 10:10,100.77,2140
2025-01-02 10:11,100.72,1449
2025-01-02 10:12,100.34,2589
2025-01-02 10:13,99.46,1114
2025-01-02 10:14,99.47,1646
2025-01-02 10:15,99.60,1821
2025-01-02 10:16,99.56,2931
2025-01-02 10:17,99.90,2161
2025-01-02 10:18,100.21,2342
2025-01-02 10:19,99.91,2022
2025-01-02 10:20,99.03,1939
2025-01-02 10:21,99.71,1292
2025-01-02 10:22,99.67,2149
2025-01-02 10:23,100.05,2103
2025-01-02 10:24,99.99,2838
2025-01-02 10:25,100.65,2195
2025-01-02 10:26,100.37,1283
2025-01-02 10:27,100.58,2043
2025-01-02 10:28,99.74,2763
2025-01-02 10:29,99.77,1224
2025-01-02 10:30,99.94,2393
2025-01-02 10:31,100.18,1864
2025-01-02 10:32,99.78,2220
2025-01-02 10:33,99.50,1958
2025-01-02 10:34,98.19,2762
2025-01-02 10:35,97.95,2930
2025-01-02 10:36,98.74,2396
2025-01-02 10:37,98.80,2812
2025-01-02 10:38,98.42,2312
2025-01-02 10:39,98.33,1696
2025-01-02 10:40,98.74,1929
2025-01-02 10:41,99.08,1006
2025-01-02 10:42,100.06,1539
2025-01-02 10:43,99.77,2990
2025-01-02 10:44,99.45,2869
2025-01-02 10:45,99.45,1217
2025-01-02 10:46,99.74,2308
2025-01-02 10:47,99.43,2039
2025-01-02 10:48,99.21,2561
2025-01-02 10:49,99.03,1330
2025-01-02 10:50,98.19,2086
2025-01-02 10:51,97.98,2881
2025-01-02 10:52,98.42,1039
2025-01-02 10:53,98.42,1229
2025-01-02 10:54,99.35,2703
2025-01-02 10:55,98.90,2652
2025-01-02 10:56,98.84,2798
2025-01-02 10:57,99.00,2161
2025-01-02 10:58,99.20,1995
2025-01-02 10:59,99.13,2671
2025-01-02 11:00,99.90,2568
2025-01-02 11:01,100.26,1257
2025-01-02 11:02,100.65,2125
2025-01-02 11:03,101.06,1338
2025-01-02 11:04,100.96,1866
2025-01-02 11:05,101.97,2975
2025-01-02 11:06,102.12,2494
2025-01-02 11:07,102.73,2412
2025-01-02 11:08,102.86,2375
2025-01-02 11:09,103.27,2330
2025-01-02 11:10,102.52,1924
2025-01-02 11:11,103.29,1247
2025-01-02 11:12,103.29,1043
2025-01-02 11:13,103.47,2204
2025-01-02 11:14,102.84,1014
2025-01-02 11:15,102.62,1145
2025-01-02 11:16,102.57,1138
2025-01-02 11:17,102.41,2854
2025-01-02 11:18,102.84,2052
2025-01-02 11:19,102.93,1487
2025-01-02 11:20,102.83,2104
2025-01-02 11:21,103.40,1270
2025-01-02 11:22,103.22,2180
2025-01-02 11:23,102.20,1968
2025-01-02 11:24,102.23,1833
2025-01-02 11:25,102.80,1389
2025-01-02 11:26,103.40,1725
2025-01-02 11:27,103.81,1867
2025-01-02 11:28,102.97,1110
2025-01-02 11:29,103.50,2379
2025-01-02 11:30,103.08,1124
2025-01-02 11:31,102.49,1824
2025-01-02 11:32,102.37,1223
2025-01-02 11:33,101.48,1509
2025-01-02 11:34,101.70,1287
2025-01-02 11:35,102.28,1864
2025-01-02 11:36,102.51,2790
2025-01-02 11:37,103.02,2890
2025-01-02 11:38,103.83,2753
2025-01-02 11:39,104.24,2127
2025-01-02 11:40,104.83,2107
2025-01-02 11:41,105.25,2712
2025-01-02 11:42,105.47,2543
2025-01-02 11:43,105.49,2738
2025-01-02 11:44,105.54,1985
2025-01-02 11:45,106.05,1437
2025-01-02 11:46,106.76,1337
2025-01-02 11:47,105.95,1776
2025-01-02 11:48,106.44,2897
2025-01-02 11:49,106.45,2605
2025-01-02 11:50,106.54,2426
2025-01-02 11:51,106.14,2960
2025-01-02 11:52,106.03,2355
2025-01-02 11:53,105.17,2471
2025-01-02 11:54,104.84,1445
2025-01-02 11:55,104.87,2983
2025-01-02 11:56,105.63,1124
2025-01-02 11:57,105.92,2531
2025-01-02 11:58,105.86,1976
2025-01-02 11:59,106.01,2029
2025-01-02 12:00,106.55,1116
2025-01-02 12:01,106.25,2967
2025-01-02 12:02,105.27,1140
2025-01-02 12:03,105.23,2218
2025-01-02 12:04,106.13,1826
2025-01-02 12:05,106.54,1245
2025-01-02 12:06,107.15,2185
2025-01-02 12:07,106.92,2217
2025-01-02 12:08,107.12,2346
2025-01-02 12:09,107.17,2195
2025-01-02 12:10,106.77,1534
2025-01-02 12:11,106.59,1418
2025-01-02 12:12,106.38,1543
2025-01-02 12:13,106.00,1810
2025-01-02 12:14,106.49,1936
2025-01-02 12:15,107.02,1647
2025-01-02 12:16,108.08,1019
2025-01-02 12:17,107.57,1938
2025-01-02 12:18,107.11,1204
2025-01-02 12:19,106.66,1150
2025-01-02 12:20,106.09,1271
2025-01-02 12:21,105.95,2911
2025-01-02 12:22,105.84,1500
2025-01-02 12:23,105.99,1756
2025-01-02 12:24,105.87,2112
2025-01-02 12:25,106.40,2440
2025-01-02 12:26,105.93,2652
2025-01-02 12:27,107.29,2339
2025-01-02 12:28,106.56,2135
2025-01-02 12:29,106.43,1613
2025-01-02 12:30,106.64,2798
2025-01-02 12:31,106.54,1275
2025-01-02 12:32,106.45,2520
2025-01-02 12:33,107.49,2133
2025-01-02 12:34,107.72,1431
2025-01-02 12:35,108.06,2469
2025-01-02 12:36,107.64,2746
2025-01-02 12:37,108.27,1540
2025-01-02 12:38,107.89,2859
2025-01-02 12:39,107.88,2732
2025-01-02 12:40,108.55,2698
2025-01-02 12:41,108.78,1566
2025-01-02 12:42,109.21,1267
2025-01-02 12:43,109.33,2304
2025-01-02 12:44,109.63,1904
2025-01-02 12:45,109.59,2129
2025-01-02 12:46,109.41,1229
2025-01-02 12:47,108.80,1154
2025-01-02 12:48,109.52,1305
2025-01-02 12:49,109.26,2117
2025-01-02 12:50,109.73,2131
2025-01-02 12:51,109.83,1303
2025-01-02 12:52,109.70,1746
2025-01-02 12:53,109.76,2841
2025-01-02 12:54,110.99,1081
2025-01-02 12:55,110.44,2840
2025-01-02 12:56,109.97,2365
2025-01-02 12:57,110.56,1210
2025-01-02 12:58,110.17,2791
2025-01-02 12:59,110.68,1832
2025-01-02 13:00,111.50,2895
2025-01-02 13:01,111.36,2904
2025-01-02 13:02,111.39,2638
2025-01-02 13:03,111.68,2660
2025-01-02 13:04,111.91,1367
2025-01-02 13:05,112.37,2508
2025-01-02 13:06,113.15,1843
2025-01-02 13:07,112.75,2642
2025-01-02 13:08,112.36,1508
2025-01-02 13:09,111.64,1546
2025-01-02 13:10,112.06,1783
2025-01-02 13:11,112.72,2786
2025-01-02 13:12,113.26,1408
2025-01-02 13:13,113.40,2672
2025-01-02 13:14,113.81,2680
2025-01-02 13:15,113.58,2628
